rank,handler,call_name,registered_name,size,country,mu,sigma,displayed_rating,tier,provisional,num_runs,last_competition
760,Vilde Wigen Monteiro,Karri,,Small,NOR,25.4161,6.4331,1244.7,Competitor,true,5,Norwegian Open 2025
761,Ola Szydłowska,Hopie,,Small,POL,24.4428,6.1136,1244.1,Competitor,true,6,"Polish Open SOFT 2024 (XS, S & M)"
762,Ola Skoczeń,Niko,,Small,POL,24.4384,6.1121,1244.1,Competitor,true,6,"Polish Open SOFT 2025 (XS, S & M)"
763,Vocelková Alena,Nikouník,,Small,CZE,21.8133,5.2416,1243.5,Competitor,true,9,Prague Agility Party 2024
764,Okanovic Sandi,Mars,,Small,SVN,24.3849,6.1004,1243.3,Competitor,true,6,Austrian Agility Open 2025
765,Iryna Lartseva,Forward X-Factor,Forward Ukraine Flash,Small,UKR,24.3309,6.0833,1243.2,Competitor,true,6,Moravia Open 2025
766,Marianna Sipka,Kiky,,Small,HUN,25.3873,6.4359,1243.2,Competitor,true,5,EO 2025
767,Fazekas Emese,Yoru,,Small,HUN,21.7612,5.2298,1242.9,Competitor,true,9,EO 2025
768,Ylona Schardam,Bolt,,Small,,21.7746,5.2343,1242.9,Competitor,true,9,Dutch Open 2025
769,Linda de Lege,Fae,,Small,,21.7746,5.2343,1242.9,Competitor,true,9,Dutch Open 2025
770,Annette Illmer,Leery,,Small,,21.7746,5.2343,1242.9,Competitor,true,9,Dutch Open 2025
771,Alizée GUERIN,,U' and me,Small,,21.7746,5.2343,1242.9,Competitor,true,9,Dutch Open 2025
772,Jutta Wenzlaff,Peri,,Small,,21.7746,5.2343,1242.9,Competitor,true,9,Dutch Open 2025
773,Ágoston Adrienn,Azura,,Small,,25.3326,6.429,1241.8,Competitor,true,5,Austrian Agility Open 2025
774,Outi Hälli,HYMY,,Small,,19.9789,4.6523,1240.9,Competitor,true,11,Midsummer Dog Sports Festival 2024
775,Alena Frimmelova,Zizi,,Small,CZE,23.4111,5.8099,1239.3,Competitor,true,7,"Polish Open 2024 (XS, S & M)"
776,Zwettler Andrea,Bibi,,Small,,25.1778,6.4024,1238.8,Competitor,true,5,Austrian Agility Open 2025
777,Mészárosné Oláh Szabina Ivett,Szofi,Elinor du Moulin de Mcmonique,Small,,24.2041,6.0806,1238.5,Competitor,true,6,Hungarian Open 2025
778,Eva Panáčová,Lychee,,Small,CZE,24.2987,6.1241,1237.1,Competitor,true,6,"Polish Open 2024 (XS, S & M)"
779,Petra Hamsikova,Pupi,,Small,CZE,25.2548,6.4466,1236.6,Competitor,true,5,"Polish Open 2024 (XS, S & M)"
780,Emmiina Abrahamsson,,TWISTED SERENITY BLACK SHADES OF SVARTISEN,Small,FIN,25.1624,6.4156,1236.6,Competitor,true,5,Midsummer Dog Sports Festival 2025
781,Wakano Schmid,,Ebisu vom Schwabenhof Schwabenhof,Small,,23.2801,5.8008,1235.1,Competitor,true,7,Prague Agility Party 2025
782,Birgit Brinkmann,,Clarissa Claudia Gaudini Greenvalley Lina,Small,AUT,25.1749,6.433,1235.0,Competitor,true,5,Slovenian Open 2025
783,Erika Molas Coll,Quentin,,Small,HUN,24.1872,6.1054,1234.8,Competitor,true,6,"Polish Open 2026 (XS, S & M)"
784,Kateřina Růžičková,Ria,,Small,CZE,24.1834,6.109,1234.3,Competitor,true,6,"Polish Open SOFT 2025 (XS, S & M)"
785,Christine Aanstad Kolaas,Fibi,,Small,NOR,22.4251,5.5259,1233.9,Competitor,true,8,Norwegian Open 2025
786,Anni Koskelma,,ORI'S BACK KISS ME MORE,Small,,24.1702,6.118,1232.6,Competitor,true,6,Midsummer Dog Sports Festival 2025
787,Ron Liljedahl,,NORDIC NINJA'S ACHIVE MY DREAMS,Small,,22.3097,5.5041,1231.9,Competitor,true,8,Midsummer Dog Sports Festival 2025
788,Marjo Kuosmanen,,MINI KIITURIN C'MON WHAT A JACKPOT,Small,FIN,22.3097,5.5041,1231.9,Competitor,true,8,Midsummer Dog Sports Festival 2025
