competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
Nordic Agility Championship 2024,ind_agility_intermediate_1,Intermediate,Agility,False,1,31,Channie Elmestedt,Fame,Border Collie,DNK,0.0,0.0,,0.0,38.64,4.68,False,,63.0,95.0,220.0
Nordic Agility Championship 2024,ind_agility_intermediate_1,Intermediate,Agility,False,2,5,Ammy Sten,Sota,Border Collie,SWE,0.0,0.0,,0.0,40.17,4.68,False,,63.0,95.0,220.0
Nordic Agility Championship 2024,ind_agility_intermediate_1,Intermediate,Agility,False,3,24,Katariina Kuiro,Wendi,Border Collie,FIN,0.0,0.0,,0.0,40.42,4.68,False,,63.0,95.0,220.0
Nordic Agility Championship 2024,ind_agility_intermediate_1,Intermediate,Agility,False,4,14,Joni Laakso,WENDY,Australian Shepherd,FIN,0.0,0.0,,0.0,41.06,4.68,False,,63.0,95.0,220.0
Nordic Agility Championship 2024,ind_agility_intermediate_1,Intermediate,Agility,False,5,29,Sandra Sjöberg,Hennie,Border Collie,SWE,0.0,0.0,,0.0,41.52,4.68,False,,63.0,95.0,220.0
Nordic Agility Championship 2024,ind_agility_intermediate_1,Intermediate,Agility,False,6,10,Juha Orenius,Hera,Border Collie,FIN,0.0,0.0,,0.0,41.63,4.68,False,,63.0,95.0,220.0
Nordic Agility Championship 2024,ind_agility_intermediate_1,Intermediate,Agility,False,7,16,Tanja Kurikka,Pupu,border collie,FIN,0.0,0.0,,0.0,42.14,4.68,False,,63.0,95.0,220.0
Nordic Agility Championship 2024,ind_agility_intermediate_1,Intermediate,Agility,False,8,13,Channie Elmestedt,Mayday,Border Collie,DNK,0.0,0.0,,0.0,46.28,4.68,False,,63.0,95.0,220.0
Nordic Agility Championship 2024,ind_agility_intermediate_1,Intermediate,Agility,False,9,27,Camilla Jakobsson,Bam,border collie,SWE,5.0,0.0,,5.0,38.96,4.68,False,,63.0,95.0,220.0
Nordic Agility Championship 2024,ind_agility_intermediate_1,Intermediate,Agility,False,10,2,Jenny Damm,Azta,,SWE,5.0,0.0,,5.0,40.15,4.68,False,,63.0,95.0,220.0
