competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
Alpine Agility Open 2025,ind_agility_intermediate_1,Intermediate,Agility,False,1,318,Manuela Satta,THUNDER OF WILDRIVER,Border collie,ITA,0,0,,0.0,33.64,6.39,False,GLUR PHILIPP,58.11,87.16,215.0
Alpine Agility Open 2025,ind_agility_intermediate_1,Intermediate,Agility,False,2,172,Jessica Thomas,Hywee from Cricket of beautyful whites,Border collie,CHE,0,0,,0.0,34.06,6.31,False,GLUR PHILIPP,58.11,87.16,215.0
Alpine Agility Open 2025,ind_agility_intermediate_1,Intermediate,Agility,False,3,348,Kim Serneels,Sya,Border collie,BEL,0,0,,0.0,34.12,6.3,False,GLUR PHILIPP,58.11,87.16,215.0
Alpine Agility Open 2025,ind_agility_intermediate_1,Intermediate,Agility,False,4,310,Fabrizio Cantatore,EMMA OF CRAZY SISSY'S HOME,Border collie,ITA,0,0,,0.0,34.78,6.18,False,GLUR PHILIPP,58.11,87.16,215.0
Alpine Agility Open 2025,ind_agility_intermediate_1,Intermediate,Agility,False,5,177,jose manuel Davila Rosales,TURI KITANE TO FALL IN LOVE,Border collie,ITA,0,0,,0.0,36.35,5.91,False,GLUR PHILIPP,58.11,87.16,215.0
Alpine Agility Open 2025,ind_agility_intermediate_1,Intermediate,Agility,False,6,41,Manuela Piccin,META DEI MATIBLU,Border collie,ITA,0,0,,0.0,37.38,5.75,False,GLUR PHILIPP,58.11,87.16,215.0
Alpine Agility Open 2025,ind_agility_intermediate_1,Intermediate,Agility,False,7,208,Joséphine  Fatoux,Vikérian,Mudi,CHE,0,0,,0.0,37.4,5.75,False,GLUR PHILIPP,58.11,87.16,215.0
Alpine Agility Open 2025,ind_agility_intermediate_1,Intermediate,Agility,False,8,40,Signoret  Stéphanie,Pinkazura,Australian shepherd,FRA,0,0,,0.0,37.83,5.68,False,GLUR PHILIPP,58.11,87.16,215.0
Alpine Agility Open 2025,ind_agility_intermediate_1,Intermediate,Agility,False,9,221,Corrado Bianchi,MONGIOIA DI PETRADEMONE,Border collie,ITA,0,0,,0.0,39.36,5.46,False,GLUR PHILIPP,58.11,87.16,215.0
Alpine Agility Open 2025,ind_agility_intermediate_1,Intermediate,Agility,False,10,173,Caroline Callais,RHEA LIKE A RITOURNELLE,Miniature American Shepherd,FRA,0,0,,0.0,40.15,5.35,False,GLUR PHILIPP,58.11,87.16,215.0
Alpine Agility Open 2025,ind_agility_intermediate_1,Intermediate,Agility,False,11,81,manuela aiassa,KARA OF CRAZY SISSY'S HOME,Border collie,ITA,0,0,,0.0,44.03,4.88,False,GLUR PHILIPP,58.11,87.16,215.0
Alpine Agility Open 2025,ind_agility_intermediate_1,Intermediate,Agility,False,12,78,Ádám-Bökényi Bernadett,"Bellamie aus dem Bergischen ""Mí""",Border collie,AUS,1,0,,5.0,34.68,6.2,False,GLUR PHILIPP,58.11,87.16,215.0
Alpine Agility Open 2025,ind_agility_intermediate_1,Intermediate,Agility,False,13,83,Gianluca Schingaro,SUPERGIRL DEI MATIBLU,Border collie,ITA,1,0,,5.0,37.77,5.69,False,GLUR PHILIPP,58.11,87.16,215.0
Alpine Agility Open 2025,ind_agility_intermediate_1,Intermediate,Agility,False,14,109,Jan Fiala,Kirlie Mawlch,Border collie,HRV,1,0,,5.0,38.28,5.62,False,GLUR PHILIPP,58.11,87.16,215.0
Alpine Agility Open 2025,ind_agility_intermediate_1,Intermediate,Agility,False,15,84,Saverio Pellegrino,IRA,Border collie,ITA,1,1,,10.0,35.28,6.09,False,GLUR PHILIPP,58.11,87.16,215.0
